id,niyet,baslik,belge_turu,dosya
CY-223,07_ret_kismen_kabul,Belirtilmemiş Başlık,sentetik_belge,CY-223.md
CY-224,07_ret_kismen_kabul,Belirtilmemiş Başlık,sentetik_belge,CY-224.md
CY-225,07_ret_kismen_kabul,Belirtilmemiş Başlık,sentetik_belge,CY-225.md
CY-226,07_ret_kismen_kabul,Belirtilmemiş Başlık,sentetik_belge,CY-226.md
CY-227,08_eksik_belge_yetkisizlik,Belirtilmemiş Başlık,sentetik_belge,CY-227.md
CY-228,08_eksik_belge_yetkisizlik,Belirtilmemiş Başlık,sentetik_belge,CY-228.md
CY-229,08_eksik_belge_yetkisizlik,Belirtilmemiş Başlık,sentetik_belge,CY-229.md
CY-230,08_eksik_belge_yetkisizlik,Belirtilmemiş Başlık,sentetik_belge,CY-230.md
GIB-CY-001,ret,Belirtilmemiş Başlık,resmi_anonimlestirilmis_ozelge,GIB-CY-001_siparis-uzerine-gerceklestirilen-ar-ge-faaliyetleri.md
GIB-CY-002,ret,Belirtilmemiş Başlık,resmi_anonimlestirilmis_ozelge,GIB-CY-002_is-gorusmesi-yapmak-ve-musteri-agrlamak-icin-cekme-karavan-motorsuz-al.md
GIB-CY-003,ret,Belirtilmemiş Başlık,resmi_anonimlestirilmis_ozelge,GIB-CY-003_kurumlar-vergisi-orannn-1-puan-indirimli-uygulanmas.md
GIB-CY-004,ret,Belirtilmemiş Başlık,resmi_anonimlestirilmis_ozelge,GIB-CY-004_serbest-bolge-icinde-yaplan-sats.md
GIB-CY-005,ret_kismen_kabul,Belirtilmemiş Başlık,resmi_anonimlestirilmis_ozelge,GIB-CY-005_sirket-aktifinde-kaytl-bulunan-gayrimenkullerin-bankaya-olan-borca-kar.md
GIB-CY-006,ret,Belirtilmemiş Başlık,resmi_anonimlestirilmis_ozelge,GIB-CY-006_yurt-ds-mukimi-firmann-turkiye-subesinin-anonim-veya-limited-sirkete-d.md
GIB-CY-007,ret,Belirtilmemiş Başlık,resmi_anonimlestirilmis_ozelge,GIB-CY-007_il-ozel-idareleri-yarg-harclar-hk.md
GIB-CY-008,ret_kismen_kabul,Belirtilmemiş Başlık,resmi_anonimlestirilmis_ozelge,GIB-CY-008_vakfa-bagl-iktisadi-isletme-adna-tescil-edilemeyen-tast-giderlerinin-k.md
GIB-CY-009,ret,Belirtilmemiş Başlık,resmi_anonimlestirilmis_ozelge,GIB-CY-009_ksm-bolunme-suretiyle-yeni-kurulan-sirketin-vergiye-uyumlu-mukellefler.md
GIB-CY-010,ret,Belirtilmemiş Başlık,resmi_anonimlestirilmis_ozelge,GIB-CY-010_mobil-uygulamalarn-app-store-ve-google-play-store-dan-indirilmesinden-.md
GIB-CY-011,ret,Belirtilmemiş Başlık,resmi_anonimlestirilmis_ozelge,GIB-CY-011_gayrimenkullerin-gunluk-haftalk-veya-aylk-olarak-kiraya-verilmesinde-b.md
GIB-CY-012,ret_kismen_kabul,Belirtilmemiş Başlık,resmi_anonimlestirilmis_ozelge,GIB-CY-012_instagram-ve-armut-hesab-uzerinden-verilen-psikolojik-dansmanlk-hizmet.md
GIB-CY-013,ret_kismen_kabul,Belirtilmemiş Başlık,resmi_anonimlestirilmis_ozelge,GIB-CY-013_yurt-ds-merkezli-siteye-yuklenen-oyun-yazlm-faaliyeti-nedeniyle-elde-e.md
GIB-CY-014,ret,Belirtilmemiş Başlık,resmi_anonimlestirilmis_ozelge,GIB-CY-014_devir-sozlesmelerinde-damga-vergisi.md
GIB-CY-015,olumlu_cevap,Belirtilmemiş Başlık,resmi_anonimlestirilmis_ozelge,GIB-CY-015_ogretmenevi-ve-aksam-sanat-okulu-mudurlugu-adna-kaytl-araclarda-motorl.md
GIB-CY-016,olumlu_cevap,Belirtilmemiş Başlık,resmi_anonimlestirilmis_ozelge,GIB-CY-016_saglk-meslek-hizmet-birimi-ruhsat-belgesine-istinaden-fizyoterapist-un.md
GIB-CY-017,olumlu_cevap,Belirtilmemiş Başlık,resmi_anonimlestirilmis_ozelge,GIB-CY-017_murisin-hissedar-oldugu-sirket-hissesinin-hangi-degerle-beyan-edileceg.md
GIB-CY-018,olumlu_cevap,Belirtilmemiş Başlık,resmi_anonimlestirilmis_ozelge,GIB-CY-018_oyak-bags-karslg-olunceye-kadar-emekli-geliri-odenmesi-sozlesmesi-kaps.md
GIB-CY-019,olumlu_cevap,Belirtilmemiş Başlık,resmi_anonimlestirilmis_ozelge,GIB-CY-019_edinilmis-mallara-katlma-rejimi-hk.md
GIB-CY-020,ret,Belirtilmemiş Başlık,resmi_anonimlestirilmis_ozelge,GIB-CY-020_enflasyon-duzeltmesinde-amortisman-ayrlmayan-veya-eksik-ayrlan-atik-le.md
GIB-CY-021,ret,Belirtilmemiş Başlık,resmi_anonimlestirilmis_ozelge,GIB-CY-021_yaplmakta-olan-yatrmlarn-enflasyon-duzeltmesine-tabi-tutulmakszn-ozel-.md
GIB-CY-022,ret_kismen_kabul,Belirtilmemiş Başlık,resmi_anonimlestirilmis_ozelge,GIB-CY-022_tahsil-edilemeyen-alacaklarn-degersiz-alacak-olarak-kayd-hk.md
GIB-CY-023,olumlu_cevap,Belirtilmemiş Başlık,resmi_anonimlestirilmis_ozelge,GIB-CY-023_sirketin-bagl-ortaklk-istiraklerinin-istirakler-bagl-ortaklklar-hesapl.md
GIB-CY-024,ret,Belirtilmemiş Başlık,resmi_anonimlestirilmis_ozelge,GIB-CY-024_asgari-kurumlar-vergisi-uygulamalar-hk.md
GIB-CY-025,ret_kismen_kabul,Belirtilmemiş Başlık,resmi_anonimlestirilmis_ozelge,GIB-CY-025_kalknma-ajansndan-alnan-hibe-tutarnn-vergilendirilmesi-hk.md
GIB-CY-026,olumlu_cevap,Belirtilmemiş Başlık,resmi_anonimlestirilmis_ozelge,GIB-CY-026_konkordato-projesi-kapsamnda-sirketin-ortag-tarafndan-sirkete-devredil.md
GIB-CY-027,olumlu_cevap,Belirtilmemiş Başlık,resmi_anonimlestirilmis_ozelge,GIB-CY-027_ikinci-el-motorlu-kara-tast-ticareti-yetki-belgesi-bulunanlarn-ihalede.md
GIB-CY-028,ret_kismen_kabul,Belirtilmemiş Başlık,resmi_anonimlestirilmis_ozelge,GIB-CY-028_instagram-uzerinden-verilen-e-kitap-tantm-ve-zoom-uzerinden-verilen-ki.md
GIB-CY-029,olumlu_cevap,Belirtilmemiş Başlık,resmi_anonimlestirilmis_ozelge,GIB-CY-029_yurt-dsnda-yurt-ds-mukim-sirkete-verilen-urun-testi-ile-veri-analizi-h.md
GIB-CY-030,olumlu_cevap,Belirtilmemiş Başlık,resmi_anonimlestirilmis_ozelge,GIB-CY-030_teknoloji-a-s.md
GIB-CY-031,olumlu_cevap,Belirtilmemiş Başlık,resmi_anonimlestirilmis_ozelge,GIB-CY-031_1136-sayl-avukatlk-kanununun-35-a-maddesi-uyarnca-duzenlenen-uzlasma-t.md
GIB-CY-032,ret_kismen_kabul,Belirtilmemiş Başlık,resmi_anonimlestirilmis_ozelge,GIB-CY-032_teknoparkta-yurutulen-faaliyetler-nedeniyle-ortaya-ckan-vade-fark-ve-k.md
GIB-CY-033,ret_kismen_kabul,Belirtilmemiş Başlık,resmi_anonimlestirilmis_ozelge,GIB-CY-033_hava-yollar-kargo-alannda-yurt-ds-mukimi-firmaya-verilen-hizmetler-hk.md
GIB-CY-034,ret_kismen_kabul,Belirtilmemiş Başlık,resmi_anonimlestirilmis_ozelge,GIB-CY-034_ar-ge-faaliyetlerinde-kullanlmak-uzere-teknoparka-alnacak-tekne.md
GIB-CY-035,ret_kismen_kabul,Belirtilmemiş Başlık,resmi_anonimlestirilmis_ozelge,GIB-CY-035_uluslararas-tasmaclk-kapsamnda-odenen-demuraj-bedelinin-kdv-den-istisn.md
GIB-CY-036,ret_kismen_kabul,Belirtilmemiş Başlık,resmi_anonimlestirilmis_ozelge,GIB-CY-036_sigorta-araclarnn-faaliyetlerinde-kdv-nin-beyan-ve-indirimi-hk.md
GIB-CY-037,ret_kismen_kabul,Belirtilmemiş Başlık,resmi_anonimlestirilmis_ozelge,GIB-CY-037_uluslar-aras-oyun-platformlarnda-verilen-oyun-tasarm-hizmetinden-elde-.md
GIB-CY-038,ret,Belirtilmemiş Başlık,resmi_anonimlestirilmis_ozelge,GIB-CY-038_gunes-enerjisi-santrali-ges-nden-uretilen-elektrigin-tuketilen-elektri.md
GIB-CY-039,olumlu_cevap,Belirtilmemiş Başlık,resmi_anonimlestirilmis_ozelge,GIB-CY-039_hurda-haldeki-bask-devre-kartlarnn-ithalinde-kdv-uygulamas-hk.md
GIB-CY-040,ret,Belirtilmemiş Başlık,resmi_anonimlestirilmis_ozelge,GIB-CY-040_poliesterlerden-sentetik-lif-dokuntuleri-teslimlerinin-kdv-den-istisna.md
GIB-CY-041,olumlu_cevap,Belirtilmemiş Başlık,resmi_anonimlestirilmis_ozelge,GIB-CY-041_kooperatifler-tarafndan-hasat-edilmemis-silajlk-msrn-tesliminde-kdv-uy.md
GIB-CY-042,ret_kismen_kabul,Belirtilmemiş Başlık,resmi_anonimlestirilmis_ozelge,GIB-CY-042_isletmede-kullanmak-uzere-alnan-elektrikli-motorlu-bisiklete-iliskin-k.md
GIB-CY-043,ret,Belirtilmemiş Başlık,resmi_anonimlestirilmis_ozelge,GIB-CY-043_organize-sanayi-bolgesi-tarafndan-yaplan-harcamalarn-vergi-kanunlar-ka.md
GIB-CY-044,olumlu_cevap,Belirtilmemiş Başlık,resmi_anonimlestirilmis_ozelge,GIB-CY-044_yurt-icinde-mukim-firmalara-verilen-sertifika-hizmeti-ve-bunlara-ilisk.md
GIB-CY-045,ret,Belirtilmemiş Başlık,resmi_anonimlestirilmis_ozelge,GIB-CY-045_mesleki-faaliyette-kullanmak-icin-alnan-araca-iliskin-giderler-hk.md
GIB-CY-046,ret_kismen_kabul,Belirtilmemiş Başlık,resmi_anonimlestirilmis_ozelge,GIB-CY-046_ferdi-isletmenin-limited-sirkete-devrolunmas-hk.md
GIB-CY-047,ret,Belirtilmemiş Başlık,resmi_anonimlestirilmis_ozelge,GIB-CY-047_serbest-meslek-erbabnn-faaliyetlerinde-kullandg-ikinci-bir-araca-ait-g.md
GIB-CY-048,olumlu_cevap,Belirtilmemiş Başlık,resmi_anonimlestirilmis_ozelge,GIB-CY-048_yurt-ds-hizmetlerde-kdv-uygulamas-hk.md
GIB-CY-049,olumlu_cevap,Belirtilmemiş Başlık,resmi_anonimlestirilmis_ozelge,GIB-CY-049_basit-usulde-vergilendirilmekte-iken-gercek-usule-gecen-mukellefin-kdv.md
GIB-CY-050,olumlu_cevap,Belirtilmemiş Başlık,resmi_anonimlestirilmis_ozelge,GIB-CY-050_universite-tarafndan-yurt-dsndaki-yaynevlerine-odenen-yayn-ucretlerini.md
GIB-CY-051,olumlu_cevap,Belirtilmemiş Başlık,resmi_anonimlestirilmis_ozelge,GIB-CY-051_unvan-degisikliginde-noter-harc-hk.md
GIB-CY-052,olumlu_cevap,Belirtilmemiş Başlık,resmi_anonimlestirilmis_ozelge,GIB-CY-052_mahkeme-kararna-istinaden-yaplacak-tescil-isleminde-tapu-harcnn-oran-h.md
GIB-CY-053,ret,Belirtilmemiş Başlık,resmi_anonimlestirilmis_ozelge,GIB-CY-053_musteri-aracnn-hasar-icin-odenen-bedelin-indirim-konusu-yaplp-yaplmaya.md
GIB-CY-054,olumlu_cevap,Belirtilmemiş Başlık,resmi_anonimlestirilmis_ozelge,GIB-CY-054_sirketin-gecmis-yl-zararlarnn-ortaklar-tarafndan-karslanmas-durumunda-.md
GIB-CY-055,ret,Belirtilmemiş Başlık,resmi_anonimlestirilmis_ozelge,GIB-CY-055_finansal-kiralama-sozlesmesi-geregince-tastlarn-kiralayan-sirkete-devr.md
TP-CY-001,eksik_belge_yetkisizlik,Belirtilmemiş Başlık,resmi_ilanen_tebligat_bildirimi,TP-CY-001_eksik_ucret_bildirimi.md
TP-CY-002,eksik_belge_yetkisizlik,Belirtilmemiş Başlık,resmi_ilanen_tebligat_bildirimi,TP-CY-002_eksik_belge_bildirimi.md
TP-CY-003,eksik_belge_yetkisizlik,Belirtilmemiş Başlık,resmi_ilanen_tebligat_bildirimi,TP-CY-003_eksik_belge_bildirimi.md
TP-CY-004,eksik_belge_yetkisizlik,Belirtilmemiş Başlık,resmi_ilanen_tebligat_bildirimi,TP-CY-004_eksik_ucret_bildirimi.md
TP-CY-005,eksik_belge_yetkisizlik,Belirtilmemiş Başlık,resmi_ilanen_tebligat_bildirimi,TP-CY-005_eksik_belge_bildirimi.md
TP-CY-006,eksik_belge_yetkisizlik,Belirtilmemiş Başlık,resmi_ilanen_tebligat_bildirimi,TP-CY-006_eksik_ucret_bildirimi.md
TP-CY-007,eksik_belge_yetkisizlik,Belirtilmemiş Başlık,resmi_ilanen_tebligat_bildirimi,TP-CY-007_eksik_ucret_bildirimi.md
TP-CY-008,eksik_belge_yetkisizlik,Belirtilmemiş Başlık,resmi_ilanen_tebligat_bildirimi,TP-CY-008_eksik_ucret_bildirimi.md
TP-CY-009,eksik_belge_yetkisizlik,Belirtilmemiş Başlık,resmi_ilanen_tebligat_bildirimi,TP-CY-009_eksik_ucret_bildirimi.md
TP-CY-010,eksik_belge_yetkisizlik,Belirtilmemiş Başlık,resmi_ilanen_tebligat_bildirimi,TP-CY-010_eksik_belge_bildirimi.md
TP-CY-011,eksik_belge_yetkisizlik,Belirtilmemiş Başlık,resmi_ilanen_tebligat_bildirimi,TP-CY-011_eksik_mal_hizmet_aciklamasi.md
TP-CY-012,eksik_belge_yetkisizlik,Belirtilmemiş Başlık,resmi_ilanen_tebligat_bildirimi,TP-CY-012_eksik_mal_hizmet_aciklamasi.md
TP-CY-013,eksik_belge_yetkisizlik,Belirtilmemiş Başlık,resmi_ilanen_tebligat_bildirimi,TP-CY-013_eksik_mal_hizmet_aciklamasi.md
TP-CY-014,eksik_belge_yetkisizlik,Belirtilmemiş Başlık,resmi_ilanen_tebligat_bildirimi,TP-CY-014_eksik_belge_bildirimi.md
TP-CY-015,eksik_belge_yetkisizlik,Belirtilmemiş Başlık,resmi_ilanen_tebligat_bildirimi,TP-CY-015_eksik_marka_ornegi.md
TP-CY-016,eksik_belge_yetkisizlik,Belirtilmemiş Başlık,resmi_ilanen_tebligat_bildirimi,TP-CY-016_eksik_marka_ornegi.md
TP-CY-017,eksik_belge_yetkisizlik,Belirtilmemiş Başlık,resmi_ilanen_tebligat_bildirimi,TP-CY-017_eksik_ucret_bildirimi.md
TP-CY-018,eksik_belge_yetkisizlik,Belirtilmemiş Başlık,resmi_ilanen_tebligat_bildirimi,TP-CY-018_eksik_belge_bildirimi.md
TP-CY-019,eksik_belge_yetkisizlik,Belirtilmemiş Başlık,resmi_ilanen_tebligat_bildirimi,TP-CY-019_eksik_vekaletname.md
TP-CY-020,eksik_belge_yetkisizlik,Belirtilmemiş Başlık,resmi_ilanen_tebligat_bildirimi,TP-CY-020_eksik_vekaletname.md
TP-CY-021,eksik_belge_yetkisizlik,Belirtilmemiş Başlık,resmi_ilanen_tebligat_bildirimi,TP-CY-021_eksik_ucret_bildirimi.md
TP-CY-022,eksik_belge_yetkisizlik,Belirtilmemiş Başlık,resmi_ilanen_tebligat_bildirimi,TP-CY-022_eksik_ucret_bildirimi.md
